time_iso8601,forks_cumulative
2026-07-21 00:00:00+00:00,9
2026-07-22 00:00:00+00:00,18
2026-07-23 00:00:00+00:00,20
2026-07-24 00:00:00+00:00,27
2026-07-25 00:00:00+00:00,28
2026-07-26 00:00:00+00:00,31
2026-07-28 00:00:00+00:00,32
2026-07-30 00:00:00+00:00,35
2026-08-02 00:00:00+00:00,36
2026-08-06 00:00:00+00:00,37
2026-08-13 00:00:00+00:00,38
2026-08-14 00:00:00+00:00,39
2026-08-18 00:00:00+00:00,41
2026-08-25 00:00:00+00:00,42
2026-08-29 00:00:00+00:00,44
2026-08-30 00:00:00+00:00,45
2026-08-31 00:00:00+00:00,46
2026-09-05 00:00:00+00:00,48
2026-09-07 00:00:00+00:00,49
2026-09-08 00:00:00+00:00,57
2026-09-09 00:00:00+00:00,62
2026-09-10 00:00:00+00:00,64
2026-09-16 00:00:00+00:00,65
