time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-18 00:00:00+00:00,22,18,37,13
2026-08-19 00:00:00+00:00,19,17,34,8
2026-08-20 00:00:00+00:00,9,8,75,12
2026-08-21 00:00:00+00:00,7,5,38,11
2026-08-22 00:00:00+00:00,15,11,84,19
2026-08-23 00:00:00+00:00,13,8,26,8
2026-08-24 00:00:00+00:00,10,7,63,10
2026-08-25 00:00:00+00:00,19,16,112,19
2026-08-26 00:00:00+00:00,66,29,85,18
2026-08-27 00:00:00+00:00,38,19,71,11
2026-08-28 00:00:00+00:00,24,15,32,12
2026-08-29 00:00:00+00:00,27,23,79,23
2026-08-30 00:00:00+00:00,37,30,85,30
2026-08-31 00:00:00+00:00,44,32,95,24
