time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-29 00:00:00+00:00,125,59,304,33
2026-07-30 00:00:00+00:00,262,93,397,29
2026-07-31 00:00:00+00:00,120,57,198,12
2026-08-01 00:00:00+00:00,63,33,225,14
2026-08-02 00:00:00+00:00,70,35,216,18
2026-08-03 00:00:00+00:00,121,55,269,20
2026-08-04 00:00:00+00:00,23,17,152,14
2026-08-05 00:00:00+00:00,39,21,194,18
2026-08-06 00:00:00+00:00,56,35,193,17
2026-08-07 00:00:00+00:00,123,59,209,15
2026-08-08 00:00:00+00:00,211,60,291,12
2026-08-09 00:00:00+00:00,61,29,105,16
2026-08-10 00:00:00+00:00,13,12,68,12
2026-08-11 00:00:00+00:00,30,27,82,14
2026-08-12 00:00:00+00:00,26,25,62,11
2026-08-13 00:00:00+00:00,13,6,40,13
2026-08-14 00:00:00+00:00,36,24,121,11
2026-08-15 00:00:00+00:00,8,7,74,7
2026-08-16 00:00:00+00:00,16,9,101,12
2026-08-17 00:00:00+00:00,5,4,43,11
2026-08-18 00:00:00+00:00,22,18,37,13
2026-08-19 00:00:00+00:00,19,17,34,8
2026-08-20 00:00:00+00:00,9,8,75,12
2026-08-21 00:00:00+00:00,7,5,38,11
2026-08-22 00:00:00+00:00,15,11,84,19
2026-08-23 00:00:00+00:00,13,8,26,8
2026-08-24 00:00:00+00:00,10,7,63,10
2026-08-25 00:00:00+00:00,19,16,112,19
2026-08-26 00:00:00+00:00,66,29,85,18
2026-08-27 00:00:00+00:00,38,19,71,11
2026-08-28 00:00:00+00:00,24,15,32,12
2026-08-29 00:00:00+00:00,27,23,79,23
2026-08-30 00:00:00+00:00,37,30,85,30
2026-08-31 00:00:00+00:00,44,32,95,24
2026-09-01 00:00:00+00:00,14,9,58,14
2026-09-02 00:00:00+00:00,11,10,36,12
2026-09-03 00:00:00+00:00,6,6,61,19
